Key,分類,ID,名稱,單位,備註,Tooltip文字
每日報表-UnRealizedSymbolCount,每日報表,UnRealizedSymbolCount,持倉商品數,檔,,
每日報表-MaxInvestAmount,每日報表,MaxInvestAmount,最大投入金額,$,,
每日報表-TodayEntryTradeCount,每日報表,TodayEntryTradeCount,進場筆數,次,,
每日報表-TodayExitTradeCount,每日報表,TodayExitTradeCount,出場筆數,次,,
交易紀錄-Name,交易紀錄,Name,商品名稱,,不支援單商品統計,
交易紀錄-Number,交易紀錄,Number,序號,,,
交易紀錄-EntryDate,交易紀錄,EntryDate,進場時間,,,
交易紀錄-ExitDate,交易紀錄,ExitDate,出場時間,,,
交易紀錄-EntryPrice,交易紀錄,EntryPrice,進場價格,元,,
交易紀錄-ExitPrice,交易紀錄,ExitPrice,出場價格,元,,
交易紀錄-ReturnRate,交易紀錄,ReturnRate,報酬率,%,,
交易紀錄-ProfitLoss,交易紀錄,ProfitLoss,獲利金額,$,,
交易紀錄-NetProfit,交易紀錄,NetProfit,累積報酬率,%,不支援整體統計,
交易紀錄-NetProfit_Amount,交易紀錄,NetProfit_Amount,累積獲利金額,$,不支援整體統計,
交易紀錄-NumberOfTrades,交易紀錄,NumberOfTrades,交易數量,股,,
交易紀錄-HoldingPeriod,交易紀錄,HoldingPeriod,持有區間,天,,
交易紀錄-PeriodHigh,交易紀錄,PeriodHigh,區間最高價,元,,
交易紀錄-PeriodLow,交易紀錄,PeriodLow,區間最低價,元,,
交易紀錄-ConsecutiveTimes,交易紀錄,ConsecutiveTimes,連續次數,次,不支援整體統計,
交易紀錄-Signal,交易紀錄,Signal,信號,,,
週期-日-AverageNetIncome,週期-日,AverageNetIncome,日報酬率,%,不支援時間加權,$是平均單日損益；%是平均單日報酬率
週期-日-AverageNetIncome_Amount,週期-日,AverageNetIncome_Amount,日淨利,$,不支援時間加權,
週期-日-GrossProfit,週期-日,GrossProfit,毛利,%,不支援時間加權,每日獲利加總
週期-日-GrossProfit_Amount,週期-日,GrossProfit_Amount,毛利,$,不支援時間加權,每日獲利加總
週期-日-GrossLoss,週期-日,GrossLoss,毛損,%,不支援時間加權,每日虧損加總
週期-日-GrossLoss_Amount,週期-日,GrossLoss_Amount,毛損,$,不支援時間加權,每日虧損加總
週期-日-ProfitFactor,週期-日,ProfitFactor,獲利因子,,不支援時間加權,毛利/ABS(毛損)×SIGN(淨利)；ABS為絕對值；SIGN為數值的正負號
週期-日-TotalCount,週期-日,TotalCount,總交易日數,數,不支援時間加權,回測日數加總
週期-日-WinCount,週期-日,WinCount,獲利交易日數,數,不支援時間加權,獲利的日數加總
週期-日-LoseCount,週期-日,LoseCount,虧損交易日數,數,不支援時間加權,虧損的日數加總
週期-日-WinRate,週期-日,WinRate,日勝率,%,不支援時間加權,獲利交易日數/總交易日數
週期-日-AverageAmountChange,週期-日,AverageAmountChange,平均單日金額變動,%,不支援時間加權,平均單日金額變動。每日平均複利增長的百分比率
週期-日-AverageAmountChange_Amount,週期-日,AverageAmountChange_Amount,平均單日金額變動,$,不支援時間加權,平均單日金額變動。每日平均複利增長的百分比率
週期-日-AverageProfitChange,週期-日,AverageProfitChange,平均單日獲利金額變動,%,不支援時間加權,平均單日獲利金額變動。獲利日數中，平均複利增長的百分比率
週期-日-AverageProfitChange_Amount,週期-日,AverageProfitChange_Amount,平均單日獲利金額變動,$,不支援時間加權,平均單日獲利金額變動。獲利日數中，平均複利增長的百分比率
週期-日-AverageLossChange,週期-日,AverageLossChange,平均單日虧損金額變動,%,不支援時間加權,平均單日虧損金額變動。虧損日數中，平均複利增長的百分比率
週期-日-AverageLossChange_Amount,週期-日,AverageLossChange_Amount,平均單日虧損金額變動,$,不支援時間加權,平均單日虧損金額變動。虧損日數中，平均複利增長的百分比率
週期-日-AverageProfitLossRatio,週期-日,AverageProfitLossRatio,平均單日獲利虧損比,,不支援時間加權,平均單日獲利虧損比。平均單日獲利金額變動 / ABS(平均單日虧損金額變動)；ABS為絕對值
週期-日-MaxProfit,週期-日,MaxProfit,最大單日獲利,%,不支援時間加權,日損益中的最大值
週期-日-MaxProfit_Amount,週期-日,MaxProfit_Amount,最大單日獲利,$,不支援時間加權,日損益中的最大值
週期-日-MaxLoss,週期-日,MaxLoss,最大單日虧損,%,不支援時間加權,日損益中的最小值
週期-日-MaxLoss_Amount,週期-日,MaxLoss_Amount,最大單日虧損,$,不支援時間加權,日損益中的最小值
